product_url,product_title,mrp,sales_price,discount_percent,star_rating,number_of_ratings,seller_name,product_details,technical_details,additional_information,Brand,Special Feature,Product Dimensions,Colour,Capacity,Material,Recommended Uses For Product,Output Wattage,Wattage,Voltage,Control Method,Has Nonstick Coating,Inner Material,Min Temperature Setting,Controller Type,Is Dishwasher Safe,Max Temperature Setting,Manufacturer,Country of Origin,Item model number,Model,Annual Energy Consumption,Installation Type,Part Number,Special Features,Oven Cooking Mode,Burner Type,Fuel Type,Defrost System,Door Orientation,Included Components,Batteries Required,Model Name,Model Year,Mounting Hardware,Colour Screen,Audio Wattage,Batteries Included,GSM frequencies,Device interface - primary,Does it contain liquid?,Includes Rechargeable Battery,Is there a timer?,Includes remote,Item part number,Energy Consumption,Form Factor,Control Type,Door Style,Finish Type,Door Material Type,Volume Capacity Name,Energy Efficiency,Lighting,Certification,Control Console,Imported By,Number of Memory Sticks,Special features,Other display features,Color,Item Model Number,Item Part Number,Primary material,What is in the box?,Shelf Type,Whats in the box,Is Assembly Required,Assembly Type,Number of Pieces,Number of Shelves,Locking Mechanism,Weight,Item Height,Item Width,Door Material,Chamber Volume,Number of Heating Elements,Power Source,Item Weight,Net Quantity,Item Dimensions LxWxH,ASIN,Date First Available,Packer,Importer,Generic Name,Home & Kitchen Rank,Microwave Ovens Rank
https://aax-eu.amazon.in/x/c/RDJEAB3aDVDmxJ_vZ7DYMF0AAAGI_BfknQMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICCzh4dz/https://www.amazon.in/Tesora-Replaces-Rotisserie-Circulation-Technology/dp/B09VGTZYTZ/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.f94148a7-b034-4e58-9f1d-2cf8db3cd03c%3Aamzn1.sym.f94148a7-b034-4e58-9f1d-2cf8db3cd03c&cv_ct_cx=microwave+oven&keywords=microwave+oven&pd_rd_i=B09VGTZYTZ&pd_rd_r=e5c00fcb-e30a-45c6-981c-a19f34df80fb&pd_rd_w=giVfb&pd_rd_wg=mcTd7&pf_rd_p=f94148a7-b034-4e58-9f1d-2cf8db3cd03c&pf_rd_r=GEJPEFFYQN55K6VBER81&qid=1687856604&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-113-06195d41-65bd-48f4-8e70-03d97b6094ec,"Tesora Digital Air Fryer Oven | Replaces OTG, Oven, Air Fryer, Toaster, Rotisserie, OTG | 360° Turbo Hot Air Circulation Technology & Dual Heating Element| 1700 Watts | Black.(14.5L) (14.5L)",18500,12999,30,3.9,117,tesora - inspired by you,"{'Special Feature': 'Temperature Control', 'Product Dimensions': '30D x 30W x 30H Centimeters', 'Colour': 'Black', 'Capacity': '14.5 litres', 'Material': 'Aluminium'}","{'Special Feature': 'Temperature Control', 'Product Dimensions': '30D x 30W x 30H Centimeters', 'Colour': 'Black', 'Capacity': '14.5 litres', 'Material': 'Aluminium', 'Recommended Uses For Product': 'Indoor Kitchen', 'Output Wattage': '1700 Watts', 'Item Weight': '10.5 Kilograms', 'Brand': 'Tesora - Inspired by you', 'Wattage': '1700 Watts', 'Voltage': '230 Volts', 'Control Method': 'Touch', 'Has Nonstick Coating': 'Yes', 'Inner Material': 'Stainless Steel', 'Min Temperature Setting': '50 Degrees Celsius', 'Controller Type': 'Button', 'Is Dishwasher Safe': 'Yes', 'Max Temperature Setting': '220 Degrees Celsius', 'Manufacturer': 'Tesora-inspired by you', 'Country of Origin': 'China', 'Item model number': '14.5L', 'ASIN': 'B09VGTZYTZ'}","{'Manufacturer': 'Tesora-inspired by you, Address:Pratech Brands, 48, 4th floor, B wing, Todi Estate, Sun Mill Compound, Senapati Bapat Marg, Lower Parel, Mumbai, Maharashtra 400013 , Customer care email id : care@shoptesora.com Customer care no. : +91-9136091007', 'Item Weight': '10 kg 500 g', 'Net Quantity': '1.00 units', 'Included Components': '1U Air Oven, 1U Toasting Rack, 1U wire rack, 1U instruction Manual, 1U Tong, 1U Mesh basket, 1U Rottiserie fork, 1U Drip Tray', 'Best Sellers Rank': '#25,217 in Home & Kitchen (See Top 100 in Home & Kitchen)\n#27 in Air Fryers'}",,Temperature Control,30D x 30W x 30H Centimeters,Black,14,Aluminium,Indoor Kitchen,1700 Watts,1700 Watts,230 Volts,Touch,Yes,Stainless Steel,50 Degrees Celsius,Button,Yes,220 Degrees Celsius,Tesora-inspired by you,China,14.5L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 kg 500 g,1.00 units,,,,,,,25217,27 in Air Fryers
https://www.amazon.in/Wonderchef-Roland-63152505-Litre-Microwave/dp/B07KMLTT7T/ref=sr_1_101?keywords=microwave+oven&qid=1687856601&sr=8-101,Wonderchef Roland 30 Litre Microwave (Black),25000,18999,24,3.8,16,Wonderchef Appliances,"{'Brand': 'Wonderchef', 'Colour': 'Black', 'Capacity': '30 litres', 'Special Feature': 'Timer, Turntable', 'Installation Type': 'Countertop'}","{'Manufacturer': 'Wonderchef', 'Country of Origin': 'China', 'Item model number': 'Wonderchef Roland Microwave 30Litre', 'ASIN': 'B07KMLTT7T'}","{'Manufacturer': 'Wonderchef', 'Item Weight': '18 kg', 'Item Dimensions LxWxH': '58 x 46 x 34 Centimeters', 'Included Components': '1 Microwave, 1 Glass Tray, 1 Baking Tray', 'Best Sellers Rank': '#796,641 in Home & Kitchen (See Top 100 in Home & Kitchen)\n#229 in Microwave Ovens'}",Wonderchef,,,,30,,,,,,,,,,,,,Wonderchef,China,Wonderchef Roland Microwave 30Litre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 kg,,58 x 46 x 34 Centimeters,,,,,,796641,229
https://www.amazon.in/Faber-Convection-FBIO-80L-6F/dp/B0821ZJR98/ref=sr_1_82?keywords=microwave+oven&qid=1687856598&sr=8-82,"Faber 80 L Convection Microwave Oven (FBIO 80L 6F, Black)",41990,39190,7,3.7,37,DAWNTECH ELECTRONICS PRIVATE LIMITED,"{'Brand': 'Faber', 'Product Dimensions': '59D x 56W x 59H Centimeters', 'Colour': 'Black', 'Capacity': '80 litres', 'Special Feature': 'Timer, Programmable'}","{'Brand': 'Faber', 'Model': 'FBIO 80L 6F', 'Capacity': '80 litres', 'Annual Energy Consumption': '2835 Watts', 'Installation Type': 'Built-In', 'Part Number': '116.0526.885', 'Special Features': 'Timer, Programmable', 'Oven Cooking Mode': 'Convection', 'Burner Type': 'Ceramic', 'Colour': 'Black', 'Voltage': '230 Volts', 'Wattage': '2000 Watt Hours', 'Fuel Type': 'Electric', 'Defrost System': 'Defrost', 'Door Orientation': 'Left', 'Material': 'Steel', 'Included Components': '1 Microwave Oven, 1 User Manual, 1 Warranty Card', 'Batteries Required': 'No', 'Manufacturer': 'Faber', 'Country of Origin': 'India'}","{'ASIN': 'B0821ZJR98', 'Customer Reviews': '3.7\n37 ratings\n3.7 out of 5 stars', 'Best Sellers Rank': '#157,436 in Home & Kitchen (See Top 100 in Home & Kitchen)\n#79 in Microwave Ovens', 'Date First Available': '26 November 2019', 'Manufacturer': 'Faber, FRANKE FABER INDIA PRIVATE LIMITED 1086/1/2, Sanaswadi, Nagar Road, TAL-Shirur, Pune, Maharashtra, 412208', 'Packer': 'FRANKE FABER INDIA PRIVATE LIMITED 1086/1/2, Sanaswadi, Nagar Road, TAL-Shirur, Pune, Maharashtra, 412208', 'Importer': 'FRANKE FABER INDIA PRIVATE LIMITED 1086/1/2, Sanaswadi, Nagar Road, TAL-Shirur, Pune, Maharashtra, 412208', 'Item Weight': '37 kg', 'Item Dimensions LxWxH': '59.4 x 54.8 x 59.4 Centimeters', 'Net Quantity': '1 Count', 'Generic Name': 'Microwave Ovens'}",Faber,,,Black,80,Steel,,,2000 Watt Hours,230 Volts,,,,,,,,Faber,India,,FBIO 80L 6F,2835 Watts,Built-In,116.0526.885,"Timer, Programmable",Convection,Ceramic,Electric,Defrost,Left,"1 Microwave Oven, 1 User Manual, 1 Warranty Card",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37 kg,1 Count,59.4 x 54.8 x 59.4 Centimeters,B0821ZJR98,26 November 2019,"FRANKE FABER INDIA PRIVATE LIMITED 1086/1/2, Sanaswadi, Nagar Road, TAL-Shirur, Pune, Maharashtra, 412208","FRANKE FABER INDIA PRIVATE LIMITED 1086/1/2, Sanaswadi, Nagar Road, TAL-Shirur, Pune, Maharashtra, 412208",Microwave Ovens,157436,79
https://www.amazon.in/7CF-700-Microwave-BkSS-OB/dp/B008S792R4/ref=sr_1_115?keywords=microwave+oven&qid=1687856604&sr=8-115,.7CF 700 W Microwave BkSS OB,,,,4.2,40,online Adda,"{'Brand': 'Avanti', 'Capacity': '0.7 Cubic Feet', 'Special Feature': 'Turntable', 'Installation Type': 'Countertop', 'Wattage': '700 Watts'}","{'Brand': 'Avanti', 'Manufacturer': 'Avanti', 'Model': 'MO7103SST', 'Model Name': 'MO7103SST', 'Model Year': '2013', 'Product Dimensions': '32.39 x 45.09 x 26.04 cm; 10.39 Kilograms', 'Item model number': 'MO7103SST', 'Special Features': 'Turntable', 'Mounting Hardware': 'Turntable', 'Colour Screen': 'No', 'Audio Wattage': '700 Watts', 'Voltage': '115 Volts', 'Wattage': '700 Watts', 'Batteries Included': 'No', 'Batteries Required': 'No', 'GSM frequencies': '60 Hz', 'Device interface - primary': 'Touchscreen', 'Does it contain liquid?': 'No', 'Includes Rechargeable Battery': 'No', 'Is there a timer?': 'Yes', 'Includes remote': 'No', 'Item Weight': '10 kg 400 g'}","{'ASIN': 'B008S792R4', 'Customer Reviews': '4.2\n40 ratings\n4.2 out of 5 stars', 'Date First Available': '27 July 2017', 'Item Dimensions LxWxH': '32.4 x 45.1 x 26 Centimeters'}",Avanti,,32.39 x 45.09 x 26.04 cm; 10.39 Kilograms,,19,,,,700 Watts,115 Volts,,,,,,,,Avanti,,MO7103SST,MO7103SST,,,,Turntable,,,,,,,No,MO7103SST,2013,Turntable,No,700 Watts,No,60 Hz,Touchscreen,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4 x 45.1 x 26 Centimeters,B008S792R4,27 July 2017,,,,,
https://www.amazon.in/HAFELE-Built-Microwave-AIDA-28/dp/B0BQ6ZQ8BC/ref=sr_1_179?keywords=microwave+oven&qid=1687856616&sr=8-179,"H'A'FELE Built-In Microwave Oven With Grill AIDA 28 (Black,25 Litres)",,,,,,,"{'Brand': ""H'A'FELE"", 'Product Dimensions': '5.95D x 3.9W x 3.94H Meters', 'Colour': 'Black', 'Capacity': '25 litres', 'Special Feature': 'Control Panel Lock'}","{'Brand': ""H'A'FELE"", 'Model': 'Microwave AIDA 28', 'Energy Consumption': '1000 Watts', 'Capacity': '25 litres', 'Installation Type': 'Built-In', 'Part Number': 'Microwave AIDA 28', 'Special Features': 'Control Panel Lock', 'Oven Cooking Mode': 'Grill, Microwave', 'Colour': 'Black', 'Wattage': '5 Watts', 'Defrost System': 'Defrost', 'Door Orientation': 'Left', 'Material': 'Stainless Steel', 'Included Components': 'Grill, Turntable', 'Manufacturer': 'Hafele India Pvt Ltd'}","{'ASIN': 'B0BQ6ZQ8BC', 'Best Sellers Rank': '#1,213,225 in Home & Kitchen (See Top 100 in Home & Kitchen)\n#3 in Combination Convection & Microwave Ovens', 'Date First Available': '15 December 2022', 'Manufacturer': 'Hafele India Pvt Ltd', 'Item Weight': '18 kg', 'Item Dimensions LxWxH': '5.95 x 3.9 x 3.94 Meters', 'Net Quantity': '1.00 Set', 'Generic Name': 'Microwave'}",H'A'FELE,,,Black,25,Stainless Steel,,,5 Watts,,,,,,,,,Hafele India Pvt Ltd,,,Microwave AIDA 28,,Built-In,Microwave AIDA 28,Control Panel Lock,"Grill, Microwave",,,Defrost,Left,"Grill, Turntable",,,,,,,,,,,,,,,1000 Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 kg,1.00 Set,5.95 x 3.9 x 3.94 Meters,B0BQ6ZQ8BC,15 December 2022,,,Microwave,1213225,3 in Combination Convection & Microwave Ovens
https://www.amazon.in/LG-Convection-Microwave-MC3286BIUM-Friendly/dp/B0C4FHT3QK/ref=sr_1_106?keywords=microwave+oven&qid=1687856601&sr=8-106,"LG 32 L Convection Microwave Oven (MC3286BIUM, Black, Heart Friendly Recipes)",24999,22751,9,,,DAWNTECH ELECTRONICS PRIVATE LIMITED,"{'Brand': 'LG', 'Product Dimensions': '53D x 53W x 32.2H Centimeters', 'Colour': 'Black', 'Capacity': '32 litres', 'Special Feature': 'Auto Cook, Timer, Defrost, Turntable, Programmable'}","{'Brand': 'LG', 'Model': 'MC3286BIUM', 'Capacity': '32 litres', 'Installation Type': 'Countertop', 'Part Number': '3F2X0644', 'Form Factor': 'Single Oven', 'Special Features': 'Auto Cook, Timer, Defrost, Turntable, Programmable', 'Oven Cooking Mode': 'Convection', 'Colour': 'Black', 'Voltage': '230 Volts', 'Wattage': '2500 Watts', 'Defrost System': 'Auto Defrost', 'Door Orientation': 'Left', 'Material': 'Stainless Steel, Glass', 'Included Components': 'Roller Ring, 1 Microwave Unit, 1Glass Tray, Owner Manual', 'Batteries Included': 'No', 'Batteries Required': 'No', 'Manufacturer': 'LG Electronics India Pvt.Ltd.', 'Country of Origin': 'India'}","{'ASIN': 'B0C4FHT3QK', 'Date First Available': '5 May 2023', 'Manufacturer': 'LG Electronics India Pvt.Ltd., 51, Udyog Vihar, Gr. Noida-(U.P)- 201306| E-Mail- serviceindia@lge.com | Telephone - 08069379999 , WhatsApp - 9711709999', 'Packer': 'LG Electronics India Pvt.Ltd. , 51, Udyog Vihar, Gr. Noida (U.P) - 201306 | E-Mail- serviceindia@lge.com | Telephone - 08069379999 , WhatsApp - 9711709999', 'Importer': 'LG Electronics India Pvt.Ltd. Regd.office : A-24/6, MOHAN COOPERATIVE IND ESTATE, MATHURA ROAD, NEW DELHI - 110044', 'Item Weight': '25 kg', 'Item Dimensions LxWxH': '53 x 53 x 32.2 Centimeters', 'Net Quantity': '1 Piece', 'Generic Name': 'Convection Microwave Oven'}",LG,,,Black,32,"Stainless Steel, Glass",,,2500 Watts,230 Volts,,,,,,,,LG Electronics India Pvt.Ltd.,India,,MC3286BIUM,,Countertop,3F2X0644,"Auto Cook, Timer, Defrost, Turntable, Programmable",Convection,,,Auto Defrost,Left,"Roller Ring, 1 Microwave Unit, 1Glass Tray, Owner Manual",No,,,,,,No,,,,,,,,,Single Oven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 kg,1 Piece,53 x 53 x 32.2 Centimeters,B0C4FHT3QK,5 May 2023,"LG Electronics India Pvt.Ltd. , 51, Udyog Vihar, Gr. Noida (U.P) - 201306 | E-Mail- serviceindia@lge.com | Telephone - 08069379999 , WhatsApp - 9711709999","LG Electronics India Pvt.Ltd. Regd.office : A-24/6, MOHAN COOPERATIVE IND ESTATE, MATHURA ROAD, NEW DELHI - 110044",Convection Microwave Oven,,
https://aax-eu.amazon.in/x/c/RNs86FhdQbKKhv8-4-yvdEwAAAGI_Bgf8QMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICB1yje6/https://www.amazon.in/dp/B09CH7956L/?_encoding=UTF8&pd_rd_i=B09CH7956L&pd_rd_w=yRD64&content-id=amzn1.sym.69a9d8c7-1563-43e8-bc18-abd50d05a73a%3Aamzn1.sym.69a9d8c7-1563-43e8-bc18-abd50d05a73a&pf_rd_p=69a9d8c7-1563-43e8-bc18-abd50d05a73a&pf_rd_r=NJF86EAPGKWW39BYJZRV&pd_rd_wg=ObhWK&pd_rd_r=ef1ef945-e6bf-447d-80d0-01dc99996544&ref_=sbv_search_btf&&pd_rd_plhdr=t,"Usha CALYPSO Digital Air Fryer Oven Toaster Grill (OTG) 30 Litre capacity All in one- Air Fry, Bake, Dehydrate, Toast, Broil | Digital Display | 8 Cooking Options, 8 accessories |2 Yrs Warranty Black",15990,12349,23,4.2,109,RetailEZ Pvt Ltd,"{'Brand': 'USHA', 'Colour': 'Black & Steel', 'Product Dimensions': '43.5D x 53.5W x 32H Centimeters', 'Special Feature': 'Temperature Control, Broiler Option', 'Control Type': 'Knob'}","{'Brand': 'USHA', 'Colour': 'Black & Steel', 'Product Dimensions': '43.5D x 53.5W x 32H Centimeters', 'Special Feature': 'Temperature Control, Broiler Option', 'Control Type': 'Knob', 'Door Style': 'Dropdown Door', 'Included Components': 'OTG, Skewers, Rotisserie Forks, Grill rack, Bake tray, Crumb tray, Rotisserie tong, Grill & Bake tong, 360° Convection Tray and Instruction manual', 'Finish Type': 'Painted', 'Door Material Type': 'Tempered Glass', 'Manufacturer': 'Usha International Ltd.', 'Country of Origin': 'China', 'Item model number': 'OTGW30 DRC TURBO CALYPSO', 'ASIN': 'B09CH7956L'}","{'Manufacturer': 'Usha International Ltd., USHA International LTD.Plot No. 15, Instituitional Area, Sector 32, Gurugram 122 001, Haryana(India), Tel +91-124-4583100 Registered Office: Surya Kiran Building 19, Kasturba Gandhi Marg, New Delhi(India) 110 006', 'Packer': 'USHA International LTD.Plot No. 15, Instituitional Area, Sector 32, Gurugram 122 001, Haryana(India), Tel +91-124-4583100 Registered Office: Surya Kiran Building 19, Kasturba Gandhi Marg, New Delhi(India) 110 006', 'Importer': 'USHA International LTD.Plot No. 15, Instituitional Area, Sector 32, Gurugram 122 001, Haryana(India), Tel +91-124-4583100 Registered Office: Surya Kiran Building 19, Kasturba Gandhi Marg, New Delhi(India) 110 006', 'Item Weight': '10 kg 700 g', 'Net Quantity': '1 count', 'Included Components': 'OTG, Skewers, Rotisserie Forks, Grill rack, Bake tray, Crumb tray, Rotisserie tong, Grill & Bake tong, 360° Convection Tray and Instruction manual', 'Generic Name': 'OTG', 'Best Sellers Rank': '#20,531 in Home & Kitchen (See Top 100 in Home & Kitchen)\n#16 in Oven Toaster Grills'}",USHA,"Temperature Control, Broiler Option",43.5D x 53.5W x 32H Centimeters,Black & Steel,,,,,,,,,,,,,,Usha International Ltd.,China,OTGW30 DRC TURBO CALYPSO,,,,,,,,,,,"OTG, Skewers, Rotisserie Forks, Grill rack, Bake tray, Crumb tray, Rotisserie tong, Grill & Bake tong, 360° Convection Tray and Instruction manual",,,,,,,,,,,,,,,,,Knob,Dropdown Door,Painted,Tempered Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 kg 700 g,1 count,,,,"USHA International LTD.Plot No. 15, Instituitional Area, Sector 32, Gurugram 122 001, Haryana(India), Tel +91-124-4583100 Registered Office: Surya Kiran Building 19, Kasturba Gandhi Marg, New Delhi(India) 110 006","USHA International LTD.Plot No. 15, Instituitional Area, Sector 32, Gurugram 122 001, Haryana(India), Tel +91-124-4583100 Registered Office: Surya Kiran Building 19, Kasturba Gandhi Marg, New Delhi(India) 110 006",OTG,20531,16 in Oven Toaster Grills
https://www.amazon.in/Bosch-Oven-Slide-658253-00658253/dp/B00LKOSDUY/ref=sr_1_203?keywords=microwave+oven&qid=1687856619&sr=8-203,Bosch Oven Slide 658253 00658253,,,,,,Bixind (USA),{},"{'Country of Origin': 'USA', 'Item part number': '658253', 'ASIN': 'B00LKOSDUY'}",{},,,,,,,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,658253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.in/Westinghouse-WCM11100B-Counter-Microwave-Cabinet/dp/B00GEC80EG/ref=sr_1_110?keywords=microwave+oven&qid=1687856601&sr=8-110,"Countertop 1.1 Cubic Feet Microwave Oven, 1000 Watt, Black Front with Black Cabinet, Commercial Chef CHCM11100B",41709,29193,30,4.3,1452,Cart2India Online,"{'Brand': 'Westinghouse', 'Colour': 'Black', 'Capacity': '1.1 Cubic Feet', 'Special Feature': 'Timer, Defrost', 'Installation Type': 'Countertop'}","{'Manufacturer': 'Westinghouse', 'Country of Origin': 'USA', 'Item model number': 'CHCM11100B', 'ASIN': 'B00GEC80EG'}","{'Manufacturer': 'Westinghouse', 'Item Weight': '16 kg', 'Item Dimensions LxWxH': '40.1 x 54.1 x 30.2 Centimeters', 'Best Sellers Rank': '#2,687,192 in Home & Kitchen (See Top 100 in Home & Kitchen)\n#445 in Microwave Ovens'}",Westinghouse,,,,31,,,,,,,,,,,,,Westinghouse,USA,CHCM11100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 kg,,40.1 x 54.1 x 30.2 Centimeters,,,,,,2687192,445
https://aax-eu.amazon.in/x/c/RAfcFbSrwj5D-uyVh44h2EQAAAGI_BfkogMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICB3zBc2/https://www.amazon.in/dp/B08GQ8G5D4/?_encoding=UTF8&pd_rd_i=B08GQ8G5D4&pd_rd_w=3q7KP&content-id=amzn1.sym.69a9d8c7-1563-43e8-bc18-abd50d05a73a%3Aamzn1.sym.69a9d8c7-1563-43e8-bc18-abd50d05a73a&pf_rd_p=69a9d8c7-1563-43e8-bc18-abd50d05a73a&pf_rd_r=GEJPEFFYQN55K6VBER81&pd_rd_wg=yB2Zc&pd_rd_r=78f5d050-a737-45c2-b3c6-94cb2e7f474f&ref_=sbv_search_btf&&pd_rd_plhdr=t,"Whirlpool 24 L Convection Microwave Oven (MAGICOOK PRO 26CE BLACK, WHL7JBlack)",15600,11302,28,4.3,384,DAWNTECH ELECTRONICS PRIVATE LIMITED,"{'Brand': 'Whirlpool', 'Product Dimensions': '47.5D x 48.2W x 28H Centimeters', 'Colour': 'Black', 'Capacity': '24 litres', 'Special Feature': 'Auto_cook'}","{'Brand': 'Whirlpool', 'Model': 'MAGICOOK PRO 26CE BLACK', 'Capacity': '24 litres', 'Installation Type': 'Countertop', 'Part Number': 'MAGICOOK PRO 26CE BLACK', 'Special Features': 'Auto_cook', 'Oven Cooking Mode': 'Convection', 'Colour': 'Black', 'Voltage': '230 Volts', 'Wattage': '800 Watts', 'Fuel Type': 'Electric', 'Defrost System': 'Defrost', 'Door Orientation': 'Left', 'Material': 'Stainless Steel', 'Included Components': '1', 'Batteries Required': 'No', 'Manufacturer': 'Whirlpool of India Limited', 'Country of Origin': 'China'}","{'ASIN': 'B08GQ8G5D4', 'Customer Reviews': '4.3\n384 ratings\n4.3 out of 5 stars', 'Best Sellers Rank': '#7,525 in Home & Kitchen (See Top 100 in Home & Kitchen)\n#14 in Microwave Ovens', 'Date First Available': '26 August 2020', 'Manufacturer': 'Whirlpool of India Limited, Whirlpool of India Limited', 'Packer': 'Whirlpool of India Limited', 'Importer': 'Whirlpool of India Ltd. Plot No. A-4, MIDC Ranjangaon,Taluka Shirur, Dist: Pune, Maharashtra 412220, India, Email - helpdeskindia@whirlpool.com ; Toll Free - 1800 208 1800', 'Item Weight': '3 kg 110 g', 'Item Dimensions LxWxH': '189.8 x 187 x 110.2 Centimeters', 'Net Quantity': '1 set', 'Generic Name': 'Microwave Ovens'}",Whirlpool,,,Black,24,Stainless Steel,,,800 Watts,230 Volts,,,,,,,,Whirlpool of India Limited,China,,MAGICOOK PRO 26CE BLACK,,Countertop,MAGICOOK PRO 26CE BLACK,Auto_cook,Convection,,Electric,Defrost,Left,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 kg 110 g,1 set,189.8 x 187 x 110.2 Centimeters,B08GQ8G5D4,26 August 2020,Whirlpool of India Limited,"Whirlpool of India Ltd. Plot No. A-4, MIDC Ranjangaon,Taluka Shirur, Dist: Pune, Maharashtra 412220, India, Email - helpdeskindia@whirlpool.com ; Toll Free - 1800 208 1800",Microwave Ovens,7525,14
