product_title,product_url,brand,sales_price,mrp,discount_percent,number_of_ratings,number_of_reviews,type_of_oven,capacity_litres,model_name,star_rating
"IFB 23 L Convection Microwave Oven  (23SC3, Silver)",https://www.flipkart.com/ifb-23-l-convection-microwave-oven/p/itmdwmvzgvtbzcnz?pid=MRCDWK8TTHVHW3WY&lid=LSTMRCDWK8TTHVHW3WYAU7NOA&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&spotlightTagId=FkPickId_j9e%2Fm38%2Fo49&srno=b_1_1&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCDWK8TTHVHW3WY.SEARCH&ssid=me5nc1fnj40000001686492252251,IFB,9999,13990,28,61129,7271,Convection,23,23SC3,4.4
"SAMSUNG 28 L Convection & Grill Microwave Oven  (MC28A5013AK, Black)",https://www.flipkart.com/samsung-28-l-convection-grill-microwave-oven/p/itm16a0a01ca9e79?pid=MRCGDAVXGK9NZWNH&lid=LSTMRCGDAVXGK9NZWNHOOLC8U&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_2&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCGDAVXGK9NZWNH.SEARCH&ssid=me5nc1fnj40000001686492252251,SAMSUNG,10499,15590,32,8742,833,Convection & Grill,28,MC28A5013AK,4.4
"IFB 20 L Grill Microwave Oven  (20PG4S, Metallic Silver)",https://www.flipkart.com/ifb-20-l-grill-microwave-oven/p/itmeftrwxravzfzf?pid=MRCEFTRWHGRWAXMT&lid=LSTMRCEFTRWHGRWAXMTQMHL9V&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_3&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCEFTRWHGRWAXMT.SEARCH&ssid=me5nc1fnj40000001686492252251,IFB,7950,10290,22,673,65,Grill,20,20PG4S,4.3
"IFB 30 L Convection Microwave Oven  (MICRO WAVE OVEN 30FRC2, Black)",https://www.flipkart.com/ifb-30-l-convection-microwave-oven/p/itm934614bae0eae?pid=MRCEFTRWYHXDHPDA&lid=LSTMRCEFTRWYHXDHPDASMR2RU&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_4&otracker=browse&iid=en_FeJTfpuX2I85Q8msQGYbwKArEgUzLIa8PhCHFYN1FgRFR7eJ1%2FqYvB%2BtrKmsbUw2G0lFIHDoGEr91KYFJIe51g%3D%3D&ssid=me5nc1fnj40000001686492252251,IFB,15990,19290,17,7351,749,Convection,30,MICRO WAVE OVEN 30FRC2,4.4
"BAJAJ 17 L Solo Microwave Oven  (1701MT, White)",https://www.flipkart.com/bajaj-17-l-solo-microwave-oven/p/itmdxecdsze7bu4h?pid=MRCDXECBDZA7ZZJP&lid=LSTMRCDXECBDZA7ZZJP3GEPSK&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_5&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCDXECBDZA7ZZJP.SEARCH&ssid=me5nc1fnj40000001686492252251,BAJAJ,4899,6500,24,27654,3260,Solo,17,1701MT,4.3
"SAMSUNG 28 L Convection & Grill Microwave Oven  (CE1041DSB3, Black)",https://www.flipkart.com/samsung-28-l-convection-grill-microwave-oven/p/itmd3560dbb0da2f?pid=MRCGDAVXXBSZBGNG&lid=LSTMRCGDAVXXBSZBGNGZ1KJXA&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_6&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCGDAVXXBSZBGNG.SEARCH&ssid=me5nc1fnj40000001686492252251,SAMSUNG,11499,16990,32,18578,1971,Convection & Grill,28,CE1041DSB3,4.4
"Panasonic 20 L Solo Microwave Oven  (NN-SM25JBFDG, Black)",https://www.flipkart.com/panasonic-20-l-solo-microwave-oven/p/itmb8693e45493f6?pid=MRCFTZ8E2AREQZZ4&lid=LSTMRCFTZ8E2AREQZZ4FDIDGI&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_7&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCFTZ8E2AREQZZ4.SEARCH&ssid=me5nc1fnj40000001686492252251,Panasonic,5390,6790,20,2767,213,Solo,20,NN-SM25JBFDG,4.3
"IFB 30 L Oil free cooking microwave with steam clean Convection Microwave Oven  (30BC5, Black)",https://www.flipkart.com/ifb-30-l-oil-free-cooking-microwave-steam-clean-convection-oven/p/itmfhyzgaexgyxfa?pid=MRCFHYZGFYCJCJWG&lid=LSTMRCFHYZGFYCJCJWGJXUD8E&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_8&otracker=browse&iid=en_FeJTfpuX2I85Q8msQGYbwKArEgUzLIa8PhCHFYN1FgRrZeBKXwqQ7L9bXYYlFDOPx6Dv8yOVSEOWEPhYNKzqHg%3D%3D&ssid=me5nc1fnj40000001686492252251,IFB,13790,17890,22,1285,111,Convection,30,30BC5,4.3
"IFB 30 L Convection Microwave Oven  (30BRC2, Black)",https://www.flipkart.com/ifb-30-l-convection-microwave-oven/p/itmeftrwhzzy5kyv?pid=MRCEFTRWADS3GCK4&lid=LSTMRCEFTRWADS3GCK4QK0J4B&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_9&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCEFTRWADS3GCK4.SEARCH&ssid=me5nc1fnj40000001686492252251,IFB,14490,18890,23,61129,7271,Convection,30,30BRC2,4.4
"SAMSUNG 21 L Convection Microwave Oven  (CE73JD-B1/XTL, Black)",https://www.flipkart.com/samsung-21-l-convection-microwave-oven/p/itm8891a3360f67f?pid=MRCGDAVXQXUHAAHY&lid=LSTMRCGDAVXQXUHAAHYCEEAX9&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_10&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCGDAVXQXUHAAHY.SEARCH&ssid=me5nc1fnj40000001686492252251,SAMSUNG,9990,12990,23,6786,755,Convection,21,CE73JD-B1/XTL,4.4
"BAJAJ 20 L Grill Microwave Oven  (2016 MTBX, Black)",https://www.flipkart.com/bajaj-20-l-grill-microwave-oven/p/itm438ef2e1e11e0?pid=MRCFYGF2XCGEQV6H&lid=LSTMRCFYGF2XCGEQV6HZJUVRI&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_11&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCFYGF2XCGEQV6H.SEARCH&ssid=me5nc1fnj40000001686492252251,BAJAJ,5699,5995,4,5516,512,Grill,20,2016 MTBX,4.4
"IFB 30 L Metallic silver Convection Microwave Oven  (30SC4, Metallic Silver)",https://www.flipkart.com/ifb-30-l-metallic-silver-convection-microwave-oven/p/itmd607412b4f3e1?pid=MRCEF2ZSFDCNBPZ5&lid=LSTMRCEF2ZSFDCNBPZ5DCGSON&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_12&otracker=browse&iid=en_FeJTfpuX2I85Q8msQGYbwKArEgUzLIa8PhCHFYN1FgQ%2BaOSyEQHKaPmEd4lsvtOzKV5%2FDqo081zXuxAZ22do4w%3D%3D&ssid=me5nc1fnj40000001686492252251,IFB,13490,16890,20,8244,1055,Convection,30,30SC4,4.3
"Panasonic 20 L Solo Microwave Oven  (NN-ST26JMFDG, Silver)",https://www.flipkart.com/panasonic-20-l-solo-microwave-oven/p/itm44af8460a2306?pid=MRCFTZ8EWHBBPCSC&lid=LSTMRCFTZ8EWHBBPCSC9AO4IF&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_13&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCFTZ8EWHBBPCSC.SEARCH&ssid=me5nc1fnj40000001686492252251,Panasonic,5790,7490,22,1871,159,Solo,20,NN-ST26JMFDG,4.4
"LG 20 L Solo Microwave Oven  (MS2043BP, Black)",https://www.flipkart.com/lg-20-l-solo-microwave-oven/p/itmf3rygebb6pbk7?pid=MRCF2UQHF5FPDXGP&lid=LSTMRCF2UQHF5FPDXGPJIS1YS&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_14&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCF2UQHF5FPDXGP.SEARCH&ssid=me5nc1fnj40000001686492252251,LG,6290,8199,23,7170,771,Solo,20,MS2043BP,4.3
"LG 20 L Grill Microwave Oven  (MH2044DB, Black)",https://www.flipkart.com/lg-20-l-grill-microwave-oven/p/itmdz5v2y3ckyu9y?pid=MRCDZ5VFHGD7F7UV&lid=LSTMRCDZ5VFHGD7F7UVRRJYI2&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_15&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCDZ5VFHGD7F7UV.SEARCH&ssid=me5nc1fnj40000001686492252251,LG,7790,10199,23,2973,291,Grill,20,MH2044DB,4.3
